Main Category,Sub category,2nd sub category
Integrated Circuits (ICs),Memory,eMMC
Integrated Circuits (ICs),Memory,eMMC
Integrated Circuits (ICs),Memory,eMCP
Integrated Circuits (ICs),Memory,eMCP
Integrated Circuits (ICs),Power Management (PMIC),"AC DC Converters, Offline Switchers"
Integrated Circuits (ICs),Power Management (PMIC),Battery Chargers
Integrated Circuits (ICs),Power Management (PMIC),Battery Chargers
Integrated Circuits (ICs),Power Management (PMIC),Battery Management
Integrated Circuits (ICs),Power Management (PMIC),Battery Management
Integrated Circuits (ICs),Power Management (PMIC),Current Regulation/Management
Integrated Circuits (ICs),Power Management (PMIC),DC DC Switching Controllers
Integrated Circuits (ICs),Power Management (PMIC),Display Drivers
Integrated Circuits (ICs),Power Management (PMIC),Energy Metering
Integrated Circuits (ICs),Power Management (PMIC),Full Half-Bridge (H Bridge) Drivers
Integrated Circuits (ICs),Power Management (PMIC),Gate Drivers
Integrated Circuits (ICs),Power Management (PMIC),Gate Drivers
Integrated Circuits (ICs),Power Management (PMIC),Hot Swap Controllers
Integrated Circuits (ICs),Power Management (PMIC),Laser Drivers
Integrated Circuits (ICs),Power Management (PMIC),LED Drivers
Integrated Circuits (ICs),Power Management (PMIC),LED Drivers
Integrated Circuits (ICs),Power Management (PMIC),LED Drivers
Integrated Circuits (ICs),Power Management (PMIC),LED Drivers
Integrated Circuits (ICs),Power Management (PMIC),"Lighting, Ballast Controllers"
Integrated Circuits (ICs),Power Management (PMIC),"Motor Drivers, Controllers"
Integrated Circuits (ICs),Power Management (PMIC),"Motor Drivers, Controllers"
Integrated Circuits (ICs),Power Management (PMIC),"Motor Drivers, Controllers"
Integrated Circuits (ICs),Power Management (PMIC),"OR Controllers, Ideal Diodes"
Integrated Circuits (ICs),Power Management (PMIC),PFC (Power Factor Correction)
Integrated Circuits (ICs),Power Management (PMIC),"Power Distribution Switches, Load Drivers"
Integrated Circuits (ICs),Power Management (PMIC),"Power Distribution Switches, Load Drivers"
Integrated Circuits (ICs),Power Management (PMIC),"Power Distribution Switches, Load Drivers"
Integrated Circuits (ICs),Power Management (PMIC),Power Management - Specialized
Integrated Circuits (ICs),Power Management (PMIC),Power Management - Specialized
Integrated Circuits (ICs),Power Management (PMIC),Power Management - Specialized
Integrated Circuits (ICs),Power Management (PMIC),Power Over Ethernet (PoE) Controllers
Integrated Circuits (ICs),Power Management (PMIC),"Power Supply Controllers, Monitors"
Integrated Circuits (ICs),Power Management (PMIC),RMS to DC Converters
Integrated Circuits (ICs),Power Management (PMIC),Special Purpose Regulators
Integrated Circuits (ICs),Power Management (PMIC),Special Purpose Regulators
Integrated Circuits (ICs),Power Management (PMIC),Supervisors
Integrated Circuits (ICs),Power Management (PMIC),Supervisors
Integrated Circuits (ICs),Power Management (PMIC),Supervisors
Integrated Circuits (ICs),Power Management (PMIC),Thermal Management
Integrated Circuits (ICs),Power Management (PMIC),V/F and F/V Converters
Integrated Circuits (ICs),Power Management (PMIC),Voltage Reference
Integrated Circuits (ICs),Power Management (PMIC),Voltage Reference
Integrated Circuits (ICs),Power Management (PMIC),Voltage Reference
Integrated Circuits (ICs),Power Management (PMIC),Voltage Regulators - DC DC Switching Regulators
Integrated Circuits (ICs),Power Management (PMIC),Voltage Regulators - DC DC Switching Regulators
Integrated Circuits (ICs),Power Management (PMIC),Voltage Regulators - DC DC Switching Regulators
Integrated Circuits (ICs),Power Management (PMIC),Voltage Regulators - DC DC Switching Regulators
Integrated Circuits (ICs),Power Management (PMIC),Voltage Regulators - Linear + Switching
Integrated Circuits (ICs),Power Management (PMIC),Voltage Regulators - Linear Regulator Controllers
Integrated Circuits (ICs),Power Management (PMIC),"Voltage Regulators - Linear, Low Drop Out (LDO) Regulators"
Integrated Circuits (ICs),Power Management (PMIC),"Voltage Regulators - Linear, Low Drop Out (LDO) Regulators"
Integrated Circuits (ICs),Power Management (PMIC),"Voltage Regulators - Linear, Low Drop Out (LDO) Regulators"
Integrated Circuits (ICs),Power Management (PMIC),"Voltage Regulators - Linear, Low Drop Out (LDO) Regulators"
Integrated Circuits (ICs),Specialized Ics,
Integrated Circuits (ICs),Specialized Ics,
Isolators,"Optocouplers, Optoisolators",Logic Output Optoisolators
Isolators,"Optocouplers, Optoisolators","Transistor, Photovoltaic Output Optoisolators"
Isolators,"Optocouplers, Optoisolators","Transistor, Photovoltaic Output Optoisolators"
Isolators,"Optocouplers, Optoisolators","Transistor, Photovoltaic Output Optoisolators"
Isolators,"Optocouplers, Optoisolators","Triac, SCR Output Optoisolators"
Isolators,Digital Isolators,
Isolators,Isolators - Gate Drivers,
Isolators,Isolators - Gate Drivers,
Isolators,Special Purpose Isolators,
"Labels, Signs, Barriers, Identification","Barriers, Barricades, Floor Markings, Tapes",
"Labels, Signs, Barriers, Identification","Label, Sign, Barrier Accessories",
"Labels, Signs, Barriers, Identification","Labels, Stickers, Decals - Blank",
"Labels, Signs, Barriers, Identification","Labels, Stickers, Decals - Preprinted",
"Labels, Signs, Barriers, Identification","Lockouts, Padlocks",
"Labels, Signs, Barriers, Identification","Signs, Nameplates, Posters",
"Labels, Signs, Barriers, Identification",Tags,
"Line Protection, Distribution, Backups",DC to AC (Power) Inverters,
"Line Protection, Distribution, Backups",Line Conditioners,
"Line Protection, Distribution, Backups","Line Protection, Distribution Accessories",
"Line Protection, Distribution, Backups","Power Distribution, Surge Protectors",
"Line Protection, Distribution, Backups",Uninterruptible Power Supply (UPS) Systems,
"Magnetics - Transformer, Inductor Components","Bobbins (Coil Formers), Mounts, Hardware",
"Magnetics - Transformer, Inductor Components",Ferrite Cores,
"Magnetics - Transformer, Inductor Components",Magnetic Wire,
"Memory - Modules, Cards",Memory - Modules,
"Memory - Modules, Cards","Memory Card, Module Accessories",
"Memory - Modules, Cards",Memory Cards,
"Memory - Modules, Cards","Solid State Drives (SSDs), Hard Disk Drives (HDDs)",
"Memory - Modules, Cards",Specialized,
"Memory - Modules, Cards",USB Flash Drives,
"Motors, Actuators, Solenoids and Drivers",Accessories,
"Motors, Actuators, Solenoids and Drivers",Accessories,
"Motors, Actuators, Solenoids and Drivers",Electric Actuators/Cylinders,
"Motors, Actuators, Solenoids and Drivers","Motor Driver Boards, Modules",
"Motors, Actuators, Solenoids and Drivers","Motors - AC, DC",
"Motors, Actuators, Solenoids and Drivers",Solenoids,
"Motors, Actuators, Solenoids and Drivers",Stepper Motors,
"Motors, Actuators, Solenoids and Drivers",Variable Frequency Drives (VFDs),
Networking Solutions,Accessories,
Networking Solutions,"Gateways, Routers",
Networking Solutions,Media Converters,
Networking Solutions,Miscellaneous,
Networking Solutions,Serial Device Servers,
Networking Solutions,"Switches, Hubs",
Optics,Beamsplitters,
Optics,Filters,
Optics,Laser Optics,Beam Expanders
Optics,Laser Optics,F-Theta Lenses
Optics,Laser Optics,Faraday Isolators
Optics,Laser Optics,Focus Lenses
Optics,Laser Optics,Laser Modulators
Optics,Laser Optics,Laser Optics Accessories
Optics,Laser Optics,Pockels Cells
Optics,Lenses,
Optics,Mirrors,
Optics,Polarizers,
Optics,Prisms,
Optics,Cam,
Optoelectronics,Fiber Optic Transceiver Modules,
Optoelectronics,Fiber Optic Transceiver Modules,
Optoelectronics,Fiber Optic Transceiver Modules,
Optoelectronics,"LCD, OLED, Graphic",
Optoelectronics,"LCD, OLED, Graphic",
Optoelectronics,"LCD, OLED, Graphic",
Optoelectronics,LED Character and Numeric,
Optoelectronics,LED Character and Numeric,
Optoelectronics,LED Character and Numeric,
Optoelectronics,LED Character and Numeric,
Optoelectronics,LED Character and Numeric,
Optoelectronics,LED Character and Numeric,
Optoelectronics,"LED Emitters - Infrared, UV, Visible",
Optoelectronics,"LED Emitters - Infrared, UV, Visible",
Optoelectronics,"LED Emitters - Infrared, UV, Visible",
Optoelectronics,"LED Emitters - Infrared, UV, Visible",
Optoelectronics,"LED Emitters - Infrared, UV, Visible",
Optoelectronics,"LED Emitters - Infrared, UV, Visible",
Optoelectronics,"LED Emitters - Infrared, UV, Visible",
Optoelectronics,Light Pipes,
Optoelectronics,Light Pipes,
Optoelectronics,"Fiber Optic Switches, Multiplexers, Demultiplexers",
Optoelectronics,LED Indication - Discrete,
Optoelectronics,LED Indication - Discrete,
Optoelectronics,LED Indication - Discrete,
Optoelectronics,LED Indication - Discrete,
Optoelectronics,LED Indication - Discrete,
Optoelectronics,"Panel Indicators, Pilot Lights",
Optoelectronics,"Panel Indicators, Pilot Lights",
Optoelectronics,"Panel Indicators, Pilot Lights",
Optoelectronics,"Panel Indicators, Pilot Lights",
Optoelectronics,"Panel Indicators, Pilot Lights",
Optoelectronics,"Panel Indicators, Pilot Lights",
Optoelectronics,"Panel Indicators, Pilot Lights",
Optoelectronics,"Panel Indicators, Pilot Lights",
Optoelectronics,Cold Cathode Fluorescent (CCFL) & UV Lamps,
Optoelectronics,"LCD, OLED Character and Numeric",
Optoelectronics,LED Dot Matrix and Cluster,
Optoelectronics,"Ballasts, Inverters",
Optoelectronics,"Circuit Board Indicators, Arrays, Light Bars, Bar Graphs",
Optoelectronics,"Circuit Board Indicators, Arrays, Light Bars, Bar Graphs",
Optoelectronics,"Circuit Board Indicators, Arrays, Light Bars, Bar Graphs",
Optoelectronics,"Circuit Board Indicators, Arrays, Light Bars, Bar Graphs",
Optoelectronics,"Circuit Board Indicators, Arrays, Light Bars, Bar Graphs",
Optoelectronics,Display Backlights,
Optoelectronics,"Display Bezels, Lenses",
Optoelectronics,"Display, Monitor - LCD Driver/Controller",
Optoelectronics,Electroluminescent,
Optoelectronics,Fiber Optic Attenuators,
Optoelectronics,Fiber Optic Receivers,
Optoelectronics,Fiber Optic Transmitters - Discrete,
Optoelectronics,Fiber Optic Transmitters - Drive Circuitry Integrated,
Optoelectronics,HeNe Laser Heads,
Optoelectronics,HeNe Laser System Accessories,
Optoelectronics,HeNe Laser Systems,
Optoelectronics,"Incandescent, Neon Lamps",
Optoelectronics,"Incandescent, Neon Lamps",
Optoelectronics,Lamp Replacements,
Optoelectronics,Lamp Replacements,
Optoelectronics,Lamp Replacements,
Optoelectronics,"Laser Diode, Module Accessories",
Optoelectronics,"Laser Diodes, Laser Modules - Laser Delivery, Laser Fibers",
Optoelectronics,"Laser Diodes, Modules",
Optoelectronics,"LED Addressable, Specialty",
Optoelectronics,"LED COBs, Engines, Modules, Strips",
Optoelectronics,"LED COBs, Engines, Modules, Strips",
Optoelectronics,"LED COBs, Engines, Modules, Strips",
Optoelectronics,"LED COBs, Engines, Modules, Strips",
Optoelectronics,LED Color Lighting,
Optoelectronics,LED Color Lighting,
Optoelectronics,LED Color Lighting,
Optoelectronics,LED Color Lighting,
Optoelectronics,LED Color Lighting,
Optoelectronics,LED Color Lighting,
Optoelectronics,LED Lighting Kits,
Optoelectronics,LED Thermal Products,
Optoelectronics,LED White Lighting,
Optoelectronics,LED White Lighting,
Optoelectronics,LED White Lighting,
Optoelectronics,LED White Lighting,
Optoelectronics,Lenses,
Optoelectronics,Lenses,
Optoelectronics,Lighting Fixtures,
Optoelectronics,Optoelectronics Accessories,
Optoelectronics,Optoelectronics Accessories,
Optoelectronics,Optomechanical,
Optoelectronics,Reflectors,
Optoelectronics,Remote Phosphor Light Source,
Optoelectronics,"Spacers, Standoffs",
Optoelectronics,"Spacers, Standoffs",
Optoelectronics,Touch Screen Overlays,
Optoelectronics,Vacuum Fluorescent (VFD),
Optoelectronics,Xenon Lighting,
PCB,Aluminum,
PCB,Rigid,
PCB,Rigid Flex,
PCB,Flexible ,
PCB,Others,
"Potentiometers, Variable Resistors",Slide Potentiometers,
"Potentiometers, Variable Resistors",Slide Potentiometers,
"Potentiometers, Variable Resistors",Slide Potentiometers,
"Potentiometers, Variable Resistors",Adjustable Power Resistor,
"Potentiometers, Variable Resistors","Rotary Potentiometers, Rheostats",
"Potentiometers, Variable Resistors","Rotary Potentiometers, Rheostats",
"Potentiometers, Variable Resistors","Rotary Potentiometers, Rheostats",
"Potentiometers, Variable Resistors","Rotary Potentiometers, Rheostats",
"Potentiometers, Variable Resistors",Trimmer Potentiometers,
"Potentiometers, Variable Resistors",Trimmer Potentiometers,
"Potentiometers, Variable Resistors",Trimmer Potentiometers,
"Potentiometers, Variable Resistors",Accessories,
"Potentiometers, Variable Resistors",Joystick Potentiometers,
"Potentiometers, Variable Resistors",Scale Dials,
"Potentiometers, Variable Resistors",Thumbwheel Potentiometers,
"Potentiometers, Variable Resistors",Value Display Potentiometers,
Power Supplies - Board Mount,AC DC Converters,
Power Supplies - Board Mount,AC DC Converters,
Power Supplies - Board Mount,DC DC Converters,
Power Supplies - Board Mount,DC DC Converters,
Power Supplies - Board Mount,DC DC Converters,
Power Supplies - Board Mount,Board Mount Power Supply Accessories,
Power Supplies - Board Mount,LED Drivers,
Power Supplies - External/Internal (Off-Board),"AC DC Desktop, Wall Power Adapters",
Power Supplies - External/Internal (Off-Board),"AC DC Desktop, Wall Power Adapters",
Power Supplies - External/Internal (Off-Board),LED Drivers,
Power Supplies - External/Internal (Off-Board),LED Drivers,
Power Supplies - External/Internal (Off-Board),AC AC Wall Power Adapters,
Power Supplies - External/Internal (Off-Board),Power over Ethernet (PoE),
Power Supplies - External/Internal (Off-Board),Power over Ethernet (PoE),
Power Supplies - External/Internal (Off-Board),AC DC Configurable Power Supplies (Factory Assembled),
Power Supplies - External/Internal (Off-Board),AC DC Configurable Power Supply Chassis,
Power Supplies - External/Internal (Off-Board),AC DC Configurable Power Supply Modules,
Power Supplies - External/Internal (Off-Board),AC DC Converters,
Power Supplies - External/Internal (Off-Board),AC DC Converters,
Power Supplies - External/Internal (Off-Board),DC DC Converters,
Power Supplies - External/Internal (Off-Board),External/Internal Power Supply Accessories,
Power Supplies - External/Internal (Off-Board),"Industrial, DIN Rail Power Supplies",
Relays,High Frequency (RF) Relays,
Relays,"Power Relays, Over 2 Amps",
Relays,"Power Relays, Over 2 Amps",
Relays,"Power Relays, Over 2 Amps",
Relays,Reed Relays,
Relays,"Signal Relays, Up to 2 Amps",
Relays,Solid State Relays (SSR),
Relays,Solid State Relays (SSR),
Relays,Accessories,
Relays,Automotive Relays,
Relays,Contactors (Electromechanical),
Relays,Contactors (Solid State),
Relays,I/O Relay Module Racks,
Relays,I/O Relay Modules,
Relays,I/O Relay Modules,
Relays,Relay Sockets,
Relays,Relay Sockets,
Relays,Safety Relays,
Resistors,Accessories,
Resistors,Chassis Mount Resistors,
Resistors,Chip Resistor - Surface Mount,
Resistors,Chip Resistor - Surface Mount,
Resistors,Chip Resistor - Surface Mount,
Resistors,Chip Resistor - Surface Mount,
Resistors,Chip Resistor - Surface Mount,
Resistors,Chip Resistor - Surface Mount,
Resistors,Chip Resistor - Surface Mount,
Resistors,Chip Resistor - Surface Mount,
Resistors,Chip Resistor - Surface Mount,
Resistors,"Resistor Networks, Arrays",
Resistors,"Resistor Networks, Arrays",
Resistors,"Resistor Networks, Arrays",
Resistors,"Resistor Networks, Arrays",
Resistors,"Resistor Networks, Arrays",
Resistors,Specialized Resistors,
Resistors,Through Hole Resistors,
Resistors,Through Hole Resistors,
Resistors,Through Hole Resistors,
Resistors,Through Hole Resistors,
RF and Wireless,Balun,
RF and Wireless,Balun,
RF and Wireless,RF Antennas,Chip Antennas
RF and Wireless,RF Antennas,Chip Antennas
RF and Wireless,RF Antennas,Chip Antennas
RF and Wireless,RF Antennas,NFC Antennas
RF and Wireless,RF Antennas,NFC Antennas
RF and Wireless,RF Antennas,Patch Antenna
RF and Wireless,RF Antennas,Patch Antenna
RF and Wireless,RF Antennas,PCB Antenna 
RF and Wireless,RF Antennas,PCB Antenna 
RF and Wireless,RF Antennas,PCB Antenna 
RF and Wireless,RF Antennas,PCB Antenna 
RF and Wireless,RF Antennas,PCB Antenna 
RF and Wireless,RF Antennas,Indoor Antennas
RF and Wireless,RF Antennas,Indoor Antennas
RF and Wireless,RF Antennas,Indoor Antennas
RF and Wireless,RF Antennas,Indoor Antennas
RF and Wireless,RF Antennas,Indoor Antennas
RF and Wireless,RF Antennas,Outdoor Antennas
RF and Wireless,RF Antennas,Outdoor Antennas
RF and Wireless,RF Antennas,Outdoor Antennas
RF and Wireless,RF Antennas,Custom Antennas
RF and Wireless,RF Antennas,Custom Antennas
RF and Wireless,RF Shields,
RF and Wireless,RF Shields,
RF and Wireless,RF Receivers,
RF and Wireless,RF Amplifiers,
RF and Wireless,RF Circulators and Isolators,
RF and Wireless,RF Demodulators,
RF and Wireless,RF Detectors,
RF and Wireless,RF Directional Coupler,
RF and Wireless,RF Front End (LNA + PA),
RF and Wireless,RF Misc ICs and Modules,
RF and Wireless,RF Mixers,
RF and Wireless,RF Modulators,
RF and Wireless,RF Multiplexers,
RF and Wireless,RF Power Controller Ics,
RF and Wireless,RF Power Dividers/Splitters,
RF and Wireless,"RF Receiver, Transmitter, and Transceiver Finished Units",
RF and Wireless,RF Switches,
RF and Wireless,RF Transceiver Ics,
RF and Wireless,RF Transceiver Modules and Modems,
RF and Wireless,RF Transmitters,
RF and Wireless,RFID Antennas,
RF and Wireless,Attenuators,
RF and Wireless,Attenuators,
RF and Wireless,RF Accessories,
RF and Wireless,"RFI and EMI - Contacts, Fingerstock and Gaskets",
RF and Wireless,RFI and EMI - Shielding and Absorbing Materials,
RF and Wireless,RFID Accessories,
RF and Wireless,RFID Reader Modules,
RF and Wireless,"RFID Transponders, Tags",
RF and Wireless,"RFID, RF Access, Monitoring Ics",
RF and Wireless,Subscriber Identification Module (SIM) Cards,
"Sensors, Transducers",Magnetic Sensors,"Position, Proximity, Speed (Modules)"
"Sensors, Transducers",Magnetic Sensors,"Position, Proximity, Speed (Modules)"
"Sensors, Transducers",Motion Sensors,Optical Motion Sensors
"Sensors, Transducers",Motion Sensors,Optical Motion Sensors
"Sensors, Transducers",Optical Sensors,Photodiodes
"Sensors, Transducers",Optical Sensors,Phototransistors
"Sensors, Transducers",Optical Sensors,Phototransistors
"Sensors, Transducers",Optical Sensors,Phototransistors
"Sensors, Transducers","Position sensor(Angle, Linear Position Measuring)",
"Sensors, Transducers","Position sensor(Angle, Linear Position Measuring)",
"Sensors, Transducers","Pressure Sensors, Transducers",
"Sensors, Transducers",Proximity Sensors,
"Sensors, Transducers",Temperature Sensors,NTC Thermistors
"Sensors, Transducers",Temperature Sensors,NTC Thermistors
"Sensors, Transducers",Temperature Sensors,NTC Thermistors
"Sensors, Transducers",Temperature Sensors,NTC Thermistors
"Sensors, Transducers",Temperature Sensors,PTC Thermistors
"Sensors, Transducers",Temperature Sensors,PTC Thermistors
"Sensors, Transducers",Color Sensors,
"Sensors, Transducers",Current Sensors,
"Sensors, Transducers",Encoders,
"Sensors, Transducers",Encoders,
"Sensors, Transducers",Encoders,
"Sensors, Transducers",Encoders,
"Sensors, Transducers",Encoders,
"Sensors, Transducers","Float, Level Sensors",
"Sensors, Transducers",Flow Sensors,
"Sensors, Transducers","Force Sensors, Load Cells",
"Sensors, Transducers",Gas Sensors,
"Sensors, Transducers","Humidity, Moisture Sensors",
"Sensors, Transducers",IrDA Transceiver Modules,
"Sensors, Transducers",LVDT Transducers (Linear Variable Differential Transformer),
"Sensors, Transducers",Magnetic Sensors,"Compass, Magnetic Field (Modules)"
"Sensors, Transducers",Magnetic Sensors,"Linear, Compass (ICs)"
"Sensors, Transducers",Magnetic Sensors,Switches (Solid State)
"Sensors, Transducers",Magnets,Multi Purpose Magnets
"Sensors, Transducers",Magnets,Sensor Matched Magnets
"Sensors, Transducers",Motion Sensors,Accelerometers
"Sensors, Transducers",Motion Sensors,Gyroscopes
"Sensors, Transducers",Motion Sensors,IMUs (Inertial Measurement Units)
"Sensors, Transducers",Motion Sensors,Inclinometers
"Sensors, Transducers",Motion Sensors,Tilt Switches
"Sensors, Transducers",Motion Sensors,Vibration Sensors
"Sensors, Transducers",Multifunction,
"Sensors, Transducers",Optical Sensors,"Ambient Light, IR, UV Sensors"
"Sensors, Transducers",Optical Sensors,"Ambient Light, IR, UV Sensors"
"Sensors, Transducers",Optical Sensors,Camera Modules
"Sensors, Transducers",Optical Sensors,Distance Measuring
"Sensors, Transducers",Optical Sensors,"Image Sensors, Camera"
"Sensors, Transducers",Optical Sensors,Photo Detectors - CdS Cells
"Sensors, Transducers",Optical Sensors,Photo Detectors - Logic Output
"Sensors, Transducers",Optical Sensors,Photo Detectors - Remote Receiver
"Sensors, Transducers",Optical Sensors,Photointerrupters - Slot Type - Logic Output
"Sensors, Transducers",Optical Sensors,Photointerrupters - Slot Type - Transistor Output
"Sensors, Transducers",Optical Sensors,"Photonics - Counters, Detectors, SPCM (Single Photon Counting Module)"
"Sensors, Transducers",Optical Sensors,Reflective - Analog Output
"Sensors, Transducers",Optical Sensors,Reflective - Logic Output
"Sensors, Transducers","Particle, Dust Sensors",
"Sensors, Transducers",Proximity/Occupancy Sensors Finished Units,
"Sensors, Transducers",Sensor Cable Accessories,
"Sensors, Transducers",Sensor Cable Assemblies,
"Sensors, Transducers",Sensor Interface Junction Blocks,
"Sensors, Transducers",Sensor Interface Junction Blocks,
"Sensors, Transducers","Sensor, Transducer Accessories",
"Sensors, Transducers","Sensor, Transducer Amplifiers",
"Sensors, Transducers",Shock Sensors,
"Sensors, Transducers",Solar Cells,
"Sensors, Transducers",Specialized Sensors,
"Sensors, Transducers",Strain Gauges,
"Sensors, Transducers",Temperature Sensors,Analog and Digital Output
"Sensors, Transducers",Temperature Sensors,RTD (Resistance Temperature Detector)
"Sensors, Transducers",Temperature Sensors,"Thermocouples, Temperature Probes"
"Sensors, Transducers",Temperature Sensors,Thermostats - Mechanical
"Sensors, Transducers",Temperature Sensors,Thermostats - Solid State
"Sensors, Transducers",Touch Sensors,
"Sensors, Transducers","Ultrasonic Receivers, Transmitters",
Switches,Anti-Vandal Switches,
Switches,Capacitive Switches,
Switches,Detect Switches,
Switches,DIP/SIP Switches,
Switches,DIP/SIP Switches,
Switches,DIP/SIP Switches,
Switches,DIP/SIP Switches,
Switches,DIP/SIP Switches,
Switches,DIP/SIP Switches,
Switches,DIP/SIP Switches,
Switches,DIP/SIP Switches,
Switches,DIP/SIP Switches,
Switches,DIP/SIP Switches,
Switches,DIP/SIP Switches,
Switches,Emergency Stop (E-Stop) Switches,
Switches,Emergency Stop (E-Stop) Switches,
Switches,Emergency Stop (E-Stop) Switches,
Switches,Keylock Switches,
Switches,Keylock Switches,
Switches,Keylock Switches,
Switches,Keylock Switches,
Switches,Keylock Switches,
Switches,Keylock Switches,
Switches,Keypad Switches,
Switches,Keypad Switches,
Switches,Foot Switches,
Switches,Foot Switches,
Switches,Foot Switches,
Switches,Foot Switches,
Switches,Illumination Switches,
Switches,Illumination Switches,
Switches,Illumination Switches,
Switches,Illumination Switches,
Switches,Illumination Switches,
Switches,Illumination Switches,
Switches,Limit Switches,
Switches,Limit Switches,
Switches,Limit Switches,
Switches,Limit Switches,
Switches,Limit Switches,
Switches,Limit Switches,
Switches,Limit Switches,
Switches,Limit Switches,
Switches,Micro Switches,
Switches,Micro Switches,
Switches,Micro Switches,
Switches,Micro Switches,
Switches,Micro Switches,
Switches,"Magnetic, Reed Switches",
Switches,Pushbutton Switches,
Switches,Pushbutton Switches,
Switches,Pushbutton Switches,
Switches,Pushbutton Switches,
Switches,Pushbutton Switches,
Switches,Pushbutton Switches,
Switches,Pushbutton Switches,
Switches,Pushbutton Switches,
Switches,Pushbutton Switches,
Switches,Pushbutton Switches,
Switches,Pushbutton Switches,
Switches,Pushbutton Switches,
Switches,Pushbutton Switches,
Switches,Pushbutton Switches,
Switches,Pushbutton Switches,
Switches,Rocker Switches,
Switches,Rocker Switches,
Switches,Rocker Switches,
Switches,Rocker Switches,
Switches,Rocker Switches,
Switches,Rocker Switches,
Switches,Rocker Switches,
Switches,Rotary Switches,
Switches,Rotary Switches,
Switches,Rotary Switches,
Switches,Rotary Switches,
Switches,Rotary Switches,
Switches,Rotary Switches,
Switches,Rotary Switches,
Switches,Rotary Switches,
Switches,Rotary Switches,
Switches,Rotary Switches,
Switches,Selector Switches,
Switches,Selector Switches,
Switches,Selector Switches,
Switches,Selector Switches,
Switches,Selector Switches,
Switches,Slide Switches,
Switches,Slide Switches,
Switches,Slide Switches,
Switches,Slide Switches,
Switches,Slide Switches,
Switches,Slide Switches,
Switches,Slide Switches,
Switches,Slide Switches,
Switches,Slide Switches,
Switches,Tactile Switches,
Switches,Tactile Switches,
Switches,Tactile Switches,
Switches,Tactile Switches,
Switches,Tactile Switches,
Switches,Tactile Switches,
Switches,Tactile Switches,
Switches,Tactile Switches,
Switches,Tactile Switches,
Switches,Tactile Switches,
Switches,Tactile Switches,
Switches,Toggle Switches,
Switches,Toggle Switches,
Switches,Toggle Switches,
Switches,Toggle Switches,
Switches,Toggle Switches,
Switches,Toggle Switches,
Switches,Toggle Switches,
Switches,Toggle Switches,
Switches,Waterproof Switches,
Switches,Waterproof Switches,
Switches,Waterproof Switches,
Switches,Waterproof Switches,
Switches,Waterproof Switches,
Switches,Accessories,
Switches,Accessories,
Switches,Accessories,
Switches,Accessories,
Switches,"Accessories - Boots, Seals",
Switches,Accessories - Caps,
Switches,Cable Pull Switches,
Switches,Configurable Switch Components,Configurable Switch Bodies
Switches,Configurable Switch Components,Configurable Switch Contact Blocks
Switches,Configurable Switch Components,Configurable Switch Illumination Sources
Switches,Configurable Switch Components,Configurable Switch Lens
Switches,Disconnect Switch Components,
Switches,Interlock Switches,
Switches,"Navigation Switches, Joystick",
Switches,"Navigation Switches, Joystick",
Switches,Programmable Display Switches,
Switches,Pushbutton Switches - Hall Effect,
Switches,Thumbwheel Switches,
Switches,Custom,
Switches,Anti-Vandal Switches,
Switches,Anti-Vandal Switches,
Switches,Anti-Vandal Switches,
Switches,Capacitive Switches,
Switches,Capacitive Switches,
Transformers,Power Transformers,
Transformers,Power Transformers,
Transformers,Pulse Transformers,
Transformers,Pulse Transformers,
Transformers,Pulse Transformers,
Transformers,Current Sense Transformers,
Transformers,"Isolation Transformers and Autotransformers, Step Up, Step Down",
Transformers,"Switching Converter, SMPS Transformers",
Transformers,Accessories,
Transformers,Audio Transformers,
Transformers,Specialty Transformers,
